Start,End,Size;
0x384A0,0x384B9,0x19,
0x38600,0x38687,0x87,
0x386C0,0x386D9,0x19,
0x38720,0x38807,0xE7,
0x38850,0x38869,0x19,
0x38940,0x38959,0x19,
0x38960,0x38979,0x19,
0x38A20,0x38A39,0x19,
0x38A40,0x38A59,0x19,
0x39C80,0x39CB8,0x38,
0x39CC0,0x39CF8,0x38,
0x39D10,0x39D47,0x37,
0x39D60,0x39D79,0x19,
0x39FB0,0x39FC9,0x19,
0x3A030,0x3A049,0x19,
0x3A080,0x3A099,0x19,
0x3A0A0,0x3A0B9,0x19,
0x3A0C0,0x3A0D9,0x19,
0x3A0E0,0x3A178,0x98,
0x3A180,0x3A199,0x19,
0x3A210,0x3A229,0x19,
0x3A2A0,0x3A434,0x194,
0x3A4D0,0x3A4E9,0x19,
0x3A4F0,0x3A509,0x19,
0x3A510,0x3A529,0x19,
0x3A560,0x3A579,0x19,
0x3A580,0x3A5F5,0x75,
0x3A600,0x3A68E,0x8E,
0x3A690,0x3A6BB,0x2B,
0x3B090,0x3B100,0x70,
0x3B100,0x3B126,0x26,
0x3B340,0x3B3F3,0xB3,
0x3B400,0x3B470,0x70,
0x3C260,0x3C280,0x20,
0x3C280,0x3C2A0,0x20,
0x3C2A0,0x3C2C0,0x20,
0x3C2C0,0x3C2E0,0x20,
0x3C2E0,0x3C300,0x20,
0x3C300,0x3C320,0x20,
0x3C320,0x3C340,0x20,
0x3C430,0x3C449,0x19,
0x3C460,0x3C475,0x15,
0x3C7E0,0x3C96C,0x18C,
0x3CE50,0x3CE70,0x20,
0x3D5A0,0x3D612,0x72,
0x3D620,0x3D692,0x72,
0x3D6A0,0x3D712,0x72,
0x3D720,0x3D792,0x72,
0x3D860,0x3D8D2,0x72,
0x3D8E0,0x3D952,0x72,
0x3D960,0x3D9D2,0x72,
0x3D9E0,0x3DA52,0x72,
0x3DA60,0x3DAD2,0x72,
0x3DAE0,0x3DB52,0x72,
0x3DB60,0x3DBD2,0x72,
0x3DBE0,0x3DC52,0x72,
0x3DC60,0x3DCD2,0x72,
0x3DCE0,0x3DD52,0x72,
0x3DD60,0x3DDD2,0x72,
0x3DDE0,0x3DE52,0x72,
0x3DE60,0x3DED2,0x72,
0x3DEE0,0x3DF52,0x72,
0x3DF60,0x3DFD2,0x72,
0x3DFE0,0x3E052,0x72,
0x3E060,0x3E0D2,0x72,
0x3E0E0,0x3E152,0x72,
0x3E4C0,0x3E532,0x72,
0x3E540,0x3E5B2,0x72,
0x3E5C0,0x3E632,0x72,
0x3E640,0x3E6B2,0x72,
0x3E6C0,0x3E732,0x72,
0x3E740,0x3E7B2,0x72,
0x3E7C0,0x3E832,0x72,
0x3E840,0x3E8B2,0x72,
0x3E8C0,0x3E932,0x72,
0x3E940,0x3E9B2,0x72,
0x3E9C0,0x3EA32,0x72,
0x3EA40,0x3EAB2,0x72,
0x3EAC0,0x3EB32,0x72,
0x3EB40,0x3EBB2,0x72,
0x3EBC0,0x3EC32,0x72,
0x3EC40,0x3ECB2,0x72,
0x3ECC0,0x3ED32,0x72,
0x3ED40,0x3EDB2,0x72,
0x3EDC0,0x3EE32,0x72,
0x3EE40,0x3EEB2,0x72,
0x3EEC0,0x3EF32,0x72,
0x3EF40,0x3EFB2,0x72,
0x3F3E0,0x3F452,0x72,
0x3F460,0x3F4D2,0x72,
0x3F4E0,0x3F552,0x72,
0x3F560,0x3F5D2,0x72,
0x3F5E0,0x3F652,0x72,
0x3F660,0x3F6D2,0x72,
0x3F6E0,0x3F752,0x72,
0x3F760,0x3F7D2,0x72,
0x3F7E0,0x3F852,0x72,
0x3F860,0x3F8D2,0x72,
0x3FAC0,0x3FB32,0x72,
0x3FB40,0x3FBB2,0x72,
0x3FBC0,0x3FC32,0x72,
0x3FC40,0x3FCB2,0x72,
0x3FCC0,0x3FD32,0x72,
0x3FD40,0x3FDB2,0x72,
0x3FDC0,0x3FE32,0x72,
0x3FE40,0x3FEB2,0x72,
0x3FEC0,0x3FF32,0x72,
0x400F0,0x40162,0x72,
0x40170,0x401E2,0x72,
0x401F0,0x40262,0x72,
0x40270,0x402E2,0x72,
0x402F0,0x40362,0x72,
0x40370,0x403E2,0x72,
0x403F0,0x40462,0x72,
0x40470,0x404E2,0x72,
0x404F0,0x40562,0x72,
0x40570,0x405E2,0x72,
0x405F0,0x40662,0x72,
0x40670,0x406E2,0x72,
0x406F0,0x40762,0x72,
0x40770,0x407E2,0x72,
0x407F0,0x40862,0x72,
0x40870,0x408E2,0x72,
0x408F0,0x40962,0x72,
0x40970,0x409E2,0x72,
0x409F0,0x40A62,0x72,
0x40A70,0x40AE2,0x72,
0x40AF0,0x40B62,0x72,
0x40B70,0x40BE2,0x72,
0x41010,0x41082,0x72,
0x41090,0x41102,0x72,
0x41110,0x41182,0x72,
0x41190,0x41202,0x72,
0x41210,0x41282,0x72,
0x41290,0x41302,0x72,
0x41310,0x41382,0x72,
0x41390,0x41402,0x72,
0x41410,0x41482,0x72,
0x41490,0x41502,0x72,
0x41510,0x41582,0x72,
0x41590,0x41602,0x72,
0x41610,0x41682,0x72,
0x41690,0x41702,0x72,
0x41710,0x41782,0x72,
0x41790,0x41802,0x72,
0x41810,0x41882,0x72,
0x41890,0x41902,0x72,
0x41910,0x41982,0x72,
0x41990,0x41A02,0x72,
0x41A10,0x41A82,0x72,
0x41E80,0x41EF2,0x72,
0x41F00,0x41F72,0x72,
0x41F80,0x41FF2,0x72,
0x42000,0x42072,0x72,
0x42080,0x420F2,0x72,
0x42100,0x42172,0x72,
0x42180,0x421F2,0x72,
0x42200,0x42272,0x72,
0x42280,0x422F2,0x72,
0x42300,0x42372,0x72,
0x42380,0x423F2,0x72,
0x42400,0x42472,0x72,
0x426C0,0x42732,0x72,
0x42740,0x427B2,0x72,
0x427C0,0x42832,0x72,
0x42840,0x428B2,0x72,
0x428C0,0x42932,0x72,
0x42940,0x429B2,0x72,
0x429C0,0x42A32,0x72,
0x42A40,0x42AB2,0x72,
0x42AC0,0x42B32,0x72,
