Start,End,Size;
0x1A0E2D,0x1A0E3C,0xF,
0x1A0E6A,0x1A0EC1,0x57,
0x1A0EC1,0x1A0ED6,0x15,
0x1A136E,0x1A13CF,0x61,
0x1A13CF,0x1A142E,0x5F,
0x1A1715,0x1A1745,0x30,
0x1A1745,0x1A1762,0x1D,
0x1A1795,0x1A17C5,0x30,
0x1A17C5,0x1A17DD,0x18,
0x1A1807,0x1A1F94,0x78D,
0x1A1F94,0x1A1FA9,0x15,
0x1A2211,0x1A225C,0x4B,
0x1A225C,0x1A2278,0x1C,
0x1A2DB5,0x1A2E1C,0x67,
0x1A2E1C,0x1A2E63,0x47,
0x1A2E63,0x1A2E74,0x11,
0x1A2E74,0x1A2EA0,0x2C,
0x1A2F73,0x1A2F8B,0x18,
0x1A53AC,0x1A59F3,0x647,
0x1A59F3,0x1A5A48,0x55,
0x1A6243,0x1A6293,0x50,
0x1A6293,0x1A6337,0xA4,
0x1A6373,0x1A63C4,0x51,
0x1A63C4,0x1A63D7,0x13,
0x1A654C,0x1A65B6,0x6A,
0x1A65B6,0x1A65CE,0x18,
0x1A667C,0x1A66BB,0x3F,
0x1A66BB,0x1A687A,0x1BF,
0x1A687A,0x1A68E7,0x6D,
0x1A68E7,0x1A68F1,0xA,
0x1A68F1,0x1A68FA,0x9,
0x1A7F17,0x1A7F6F,0x58,
0x1A7F6F,0x1A7F8C,0x1D,
0x1A7FAF,0x1A7FDA,0x2B,
0x1A7FDA,0x1A7FEC,0x12,
0x1A8AB1,0x1A8B59,0xA8,
0x1A8B91,0x1A8F26,0x395,
0x1A8F26,0x1A8F3E,0x18,
0x1A91AC,0x1A9232,0x86,
0x1A9271,0x1A95B6,0x345,
0x1A95B6,0x1A95CE,0x18,
0x1A98F2,0x1A99A5,0xB3,
0x1A99E1,0x1A9DF8,0x417,
0x1AB644,0x1AB695,0x51,
0x1AB695,0x1AB6BF,0x2A,
0x1AB6BF,0x1AB6EF,0x30,
0x1AB70F,0x1AB78E,0x7F,
0x1AB78E,0x1AB79C,0xE,
0x1AB95A,0x1AB983,0x29,
0x1AB983,0x1AB9C1,0x3E,
0x1AB9EF,0x1ABA7A,0x8B,
0x1ABA7A,0x1ABA88,0xE,
0x1ABB61,0x1ABB82,0x21,
0x1ABB82,0x1ABC08,0x86,
0x1ABC13,0x1ABC39,0x26,
0x1ABC39,0x1ABC5F,0x26,
0x1ABCBB,0x1ABD26,0x6B,
0x1ABD26,0x1ABD42,0x1C,
0x1ABD67,0x1ABDDB,0x74,
0x1ABDDB,0x1ABDE9,0xE,
0x1ABED7,0x1ABF46,0x6F,
0x1ABF46,0x1ABF54,0xE,
0x1AC2F6,0x1AC360,0x6A,
0x1AC752,0x1AC78F,0x3D,
0x1AC78F,0x1AC79C,0xD,
0x1ACA0E,0x1ACA9F,0x91,
0x1ACA9F,0x1ACAF4,0x55,
0x1ACAF4,0x1ACB1B,0x27,
0x1ACC97,0x1ACD2C,0x95,
0x1ACD2C,0x1ACD4B,0x1F,
0x1AE41D,0x1AE4F6,0xD9,
0x1AE4F6,0x1AE518,0x22,
0x1AE6C6,0x1AE7C7,0x101,
0x1AE7C7,0x1AE7EB,0x24,
0x1AE9D1,0x1AEA5F,0x8E,
0x1AEA5F,0x1AEA7C,0x1D,
0x1AEAA7,0x1AEAB3,0xC,
0x1AEAB3,0x1AEB07,0x54,
0x1AEB07,0x1AEDC6,0x2BF,
0x1AEDC6,0x1AEDF8,0x32,
0x1AEF4B,0x1AF2FB,0x3B0,
0x1AF2FB,0x1AF566,0x26B,
0x1AF566,0x1AFA25,0x4BF,
0x1AFA25,0x1AFABA,0x95,
0x1AFABA,0x1AFAEB,0x31,
0x1AFB1A,0x1AFB2A,0x10,
0x1AFB2A,0x1AFC19,0xEF,
0x1AFC19,0x1AFC9A,0x81,
0x1AFC9A,0x1AFCAB,0x11,
0x1AFCAB,0x1AFDE6,0x13B,
0x1AFDE6,0x1AFDEF,0x9,
0x1AFE0E,0x1B00E0,0x2D2,
0x1B030B,0x1B04B1,0x1A6,
0x1B04B1,0x1B0502,0x51,
0x1B068D,0x1B071C,0x8F,
0x1B071C,0x1B0774,0x58,
0x1B0774,0x1B07A8,0x34,
0x1B08F4,0x1B09C7,0xD3,
0x1B0D8B,0x1B1C36,0xEAB,
0x1B1C36,0x1B1DF0,0x1BA,
0x1B1EF6,0x1B207B,0x185,
0x1B207B,0x1B2089,0xE,
0x1B24AA,0x1B26DF,0x235,
0x1B26DF,0x1B26F1,0x12,
0x1B2C1C,0x1B2C21,0x5,
0x1B2C21,0x1B2C7C,0x5B,
0x1B2C7C,0x1B2CD1,0x55,
0x1B2CD1,0x1B2CF7,0x26,
0x1B3605,0x1B3613,0xE,
0x1B36B4,0x1B37B6,0x102,
0x1B37B6,0x1B37BC,0x6,
0x1B37BC,0x1B38AD,0xF1,
0x1B38AD,0x1B391C,0x6F,
0x1B391C,0x1B3970,0x54,
0x1B39AA,0x1B3AB1,0x107,
0x1B3AB1,0x1B3AC3,0x12,
0x1B3AC3,0x1B3CBF,0x1FC,
0x1B3CBF,0x1B3CD1,0x12,
0x1B3CD1,0x1B3DD3,0x102,
0x1B3DD3,0x1B3E6A,0x97,
0x1B3E6A,0x1B3F58,0xEE,
0x1B3FFA,0x1B4023,0x29,
0x1B4112,0x1B4134,0x22,
0x1B4134,0x1B4335,0x201,
0x1B4335,0x1B43FE,0xC9,
0x1B43FE,0x1B44C6,0xC8,
0x1B44C6,0x1B44D8,0x12,
0x1B4599,0x1B45EE,0x55,
0x1B494F,0x1B4A16,0xC7,
0x1B4A16,0x1B4A62,0x4C,
0x1B4A62,0x1B4A84,0x22,
0x1B4A84,0x1B4AB6,0x32,
0x1B4EFF,0x1B5045,0x146,
0x1B5045,0x1B51E4,0x19F,
0x1B520C,0x1B5321,0x115,
0x1B5321,0x1B5342,0x21,
0x1B5342,0x1B5345,0x3,
0x1B5345,0x1B5366,0x21,
0x1B5366,0x1B546C,0x106,
0x1B546C,0x1B547C,0x10,
0x1B547C,0x1B5484,0x8,
0x1B5484,0x1B548D,0x9,
0x1B6019,0x1B61C1,0x1A8,
0x1B61C1,0x1B61CE,0xD,
0x1B61CE,0x1B6203,0x35,
0x1B622C,0x1B628E,0x62,
0x1B628E,0x1B62A0,0x12,
0x1B62D6,0x1B636C,0x96,
0x1B636C,0x1B639E,0x32,
0x1B639E,0x1B643E,0xA0,
0x1B643E,0x1B6537,0xF9,
0x1B6537,0x1B65D5,0x9E,
0x1B6AF9,0x1B6B45,0x4C,
0x1B6B45,0x1B6BB6,0x71,
0x1B6BB6,0x1B6BC1,0xB,
0x1B6BC1,0x1B6BE3,0x22,
0x1B6BE3,0x1B6C12,0x2F,
0x1B6DBB,0x1B6DF7,0x3C,
0x1B6DF7,0x1B6F0C,0x115,
0x1B6F0C,0x1B6F27,0x1B,
0x1B6F27,0x1B6FEC,0xC5,
0x1B6FEC,0x1B706F,0x83,
0x1B706F,0x1B70B2,0x43,
0x1B70B2,0x1B712A,0x78,
0x1B712A,0x1B715B,0x31,
0x1B81CF,0x1B8232,0x63,
0x1B8765,0x1B95AE,0xE49,
0x1B95AE,0x1B9AC3,0x515,
0x1B9AC3,0x1B9B93,0xD0,
0x1B9EBC,0x1B9F52,0x96,
0x1B9F52,0x1BA016,0xC4,
0x1BA104,0x1BA15E,0x5A,
0x1BA15E,0x1BA185,0x27,
0x1BA185,0x1BA1A5,0x20,
0x1BB07E,0x1BB086,0x8,
0x1BB086,0x1BB0BD,0x37,
0x1BB0BD,0x1BB23F,0x182,
0x1BB23F,0x1BB2F4,0xB5,
0x1BB2F4,0x1BB346,0x52,
0x1BB346,0x1BB418,0xD2,
0x1BB6EB,0x1BB6F6,0xB,
0x1BB72C,0x1BB77B,0x4F,
0x1BB77B,0x1BB7A3,0x28,
0x1BB7A3,0x1BB817,0x74,
0x1BB817,0x1BB882,0x6B,
0x1BB882,0x1BB8A5,0x23,
0x1BB8A5,0x1BB8E5,0x40,
0x1BB8E5,0x1BBA34,0x14F,
0x1BBA34,0x1BBBD4,0x1A0,
0x1BBBD4,0x1BBBDD,0x9,
0x1BC02C,0x1BC074,0x48,
0x1BC074,0x1BC13B,0xC7,
0x1BC13B,0x1BC3AC,0x271,
0x1BC3AC,0x1BC3D0,0x24,
0x1BC3DE,0x1BC535,0x157,
0x1BC535,0x1BC555,0x20,
0x1BC555,0x1BC5E4,0x8F,
0x1BC8AC,0x1BCBA5,0x2F9,
0x1BCBA5,0x1BCBB3,0xE,
0x1BCDF1,0x1BCE1F,0x2E,
0x1BCE1F,0x1BD00F,0x1F0,
0x1BD091,0x1BD238,0x1A7,
0x1BDBA4,0x1BDC15,0x71,
0x1BDC15,0x1BDC7A,0x65,
0x1BDC7A,0x1BDCA0,0x26,
0x1BDE53,0x1BDEC0,0x6D,
0x1BE92A,0x1BEA8D,0x163,
0x1BEA8D,0x1BF976,0xEE9,
0x1BF976,0x1BFB23,0x1AD,
0x1BFB23,0x1C0464,0x941,
0x1C04EB,0x1C06BB,0x1D0,
0x1C06BB,0x1C0756,0x9B,
0x1C078C,0x1C0889,0xFD,
0x1C0889,0x1C09A5,0x11C,
0x1C09E5,0x1C09F7,0x12,
0x1C09F7,0x1C0AE9,0xF2,
0x1C0AE9,0x1C0BBF,0xD6,
0x1C0BBF,0x1C0BDD,0x1E,
0x1C0BDD,0x1C0C3D,0x60,
0x1C0C3D,0x1C0C4E,0x11,
0x1C0D2C,0x1C0DB3,0x87,
0x1C0DB3,0x1C0DFD,0x4A,
0x1C107E,0x1C133E,0x2C0,
0x1C133E,0x1C136E,0x30,
0x1C19E4,0x1C1A06,0x22,
0x1C1A2E,0x1C1B7B,0x14D,
0x1C1B7B,0x1C1B89,0xE,
0x1C1BAC,0x1C1BD5,0x29,
0x1C1BD5,0x1C1C2A,0x55,
0x1C1C2A,0x1C1C42,0x18,
0x1C1C42,0x1C1C63,0x21,
0x1C2789,0x1C288F,0x106,
0x1C288F,0x1C28A3,0x14,
0x1C28CB,0x1C294A,0x7F,
0x1C294A,0x1C29C4,0x7A,
0x1C29C4,0x1C29DC,0x18,
0x1C29DC,0x1C29FE,0x22,
0x1C2BC2,0x1C2BDB,0x19,
0x1C2BDB,0x1C2C2D,0x52,
0x1C2C2D,0x1C2C4E,0x21,
0x1C2C4E,0x1C2D27,0xD9,
0x1C2E3D,0x1C2F60,0x123,
0x1C307B,0x1C3117,0x9C,
0x1C3117,0x1C3133,0x1C,
0x1C3227,0x1C3372,0x14B,
0x1C3372,0x1C3384,0x12,
0x1C44E6,0x1C500D,0xB27,
0x1C500D,0x1C5016,0x9,
0x1C5115,0x1C5159,0x44,
